summary_id,level,cluster_id,chunks_count,silhouette_score,summary_preview,created_at
level_0_cluster_4_e13afdd0,0,4,855,0.011396638651537233,"Here’s a summary of the provided text, focusing on the core themes and key details:

This document e",2026-03-28T11:28:30.326360
level_0_cluster_5_67af951d,0,5,136,0.0003618438212124389,"Here’s a concise summary of the provided text, capturing the main themes and key points:

**Summary:",2026-03-26T17:55:24.662900
level_0_cluster_5_221785a5,0,5,256,0.01940770448731996,"Here’s a summary of the provided text, aiming for clarity and capturing the core themes:

This docum",2026-03-26T18:12:10.110006
level_0_cluster_5_c914c521,0,5,892,0.008295089679676322,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-26T19:54:20.204987
level_0_cluster_5_d40c435e,0,5,184,0.008956701129883237,"Here’s a concise summary of the provided text, focusing on the core themes and key points:

The text",2026-03-27T12:40:49.707782
level_0_cluster_5_0b673cc7,0,5,594,0.011396638651537233,"Here’s a concise summary of “The Book of Five Rings” capturing the main themes and key points:

“The",2026-03-28T11:29:15.345842
level_0_cluster_6_b0ebf0e5,0,6,576,0.0003618438212124389,"Okay, here’s a summary of the provided content, aiming for a concise, informative, and well-structur",2026-03-26T17:56:17.476068
level_0_cluster_6_16708f7d,0,6,218,0.01940770448731996,"Here’s a summary of the provided content, designed to capture the core themes and key details:

**Su",2026-03-26T18:13:01.350754
level_0_cluster_6_1fe6795e,0,6,176,0.008295089679676322,"Here’s a summary of the provided content, designed to capture the core themes and key details:

**Su",2026-03-26T19:55:08.593437
level_0_cluster_6_3c2dbc09,0,6,448,0.008956701129883237,"Here’s a summary of the provided text, capturing the core themes and key points:

This document, a r",2026-03-27T12:41:28.811970
level_0_cluster_6_3f382713,0,6,414,0.011396638651537233,"Here’s a concise summary of the provided text, capturing the main themes and key points:

This docum",2026-03-28T11:29:59.037867
level_0_cluster_7_d513c94b,0,7,64,0.0003618438212124389,"Here’s a concise summary of Robin Wieruch’s “The Road to React” book, incorporating the requested el",2026-03-26T17:57:02.172576
level_0_cluster_7_6269b9c7,0,7,102,0.01940770448731996,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-26T18:13:48.210802
level_0_cluster_7_f1ab694f,0,7,198,0.008295089679676322,"Here’s a summary of the provided text, focusing on the core themes and key details:

The text center",2026-03-26T19:55:56.865401
level_0_cluster_7_c08761ea,0,7,368,0.008956701129883237,"Here’s a summary of the provided text, aiming for a concise and informative overview:

This document",2026-03-27T12:42:06.387553
level_0_cluster_7_8677d75e,0,7,722,0.011396638651537233,"Here’s a concise summary of the provided content, designed to capture the main themes and key points",2026-03-28T11:30:40.697782
level_1_cluster_0_32a30cac,1,0,4,0.1455810984225596,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-26T17:57:43.508207
level_1_cluster_0_3615bce7,1,0,4,0.1455810984225596,"Here’s a concise summary of the provided content, aiming for clarity and capturing the core themes a",2026-03-26T18:14:28.146084
level_1_cluster_0_1d2caee2,1,0,4,0.1455810984225596,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-26T19:56:39.796817
level_1_cluster_0_043b467b,1,0,4,0.1455810984225596,"Okay, here’s a 5-paragraph summary of the provided content, focusing on the core themes and key deta",2026-03-27T12:42:41.978342
level_1_cluster_0_8c088876,1,0,4,0.1455810984225596,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-28T11:31:21.272085
level_1_cluster_1_996fcd9a,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, aiming for clarity and capturing the key elements:

T",2026-03-26T17:58:18.434551
level_1_cluster_1_737933bd,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, designed to capture the main themes and key points:

",2026-03-26T18:15:07.472448
level_1_cluster_1_d5a1988d,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, aiming for a 3-5 paragraph format:

This document foc",2026-03-26T19:57:23.600417
level_1_cluster_1_49a20f18,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, designed to capture the main themes and key points:

",2026-03-27T12:43:13.857453
level_1_cluster_1_aeb3b812,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, designed to capture the main themes and key points:

",2026-03-28T11:31:56.933862
